time,value
2018-03-06,8.041115
2018-03-07,7.943913
2018-03-08,7.943913
2018-03-09,7.952750999999999
2018-03-12,7.979258
2018-03-13,7.952750999999999
2018-03-14,7.9880960000000005
2018-03-15,7.935077000000001
2018-03-16,7.882060000000001
2018-03-19,7.776022
2018-03-20,7.776022
2018-03-21,7.802533
2018-03-22,7.705332
2018-03-23,7.616967999999999
2018-03-26,7.599295
2018-03-27,7.616967999999999
2018-03-28,7.687658
2018-03-29,7.731841
2018-04-03,7.696496000000001
2018-04-04,7.864387
2018-04-06,7.935077000000001
2018-04-09,7.935077000000001
2018-04-10,7.935077000000001
2018-04-11,7.935077000000001
2018-04-12,7.943913
2018-04-13,7.899732000000001
2018-04-16,7.890896000000001
2018-04-17,7.85555
2018-04-18,7.882060000000001
2018-04-19,7.926241
2018-04-20,7.8467139999999995
2018-04-23,7.776022
2018-04-24,7.85555
2018-04-25,7.776022
2018-04-26,7.696496000000001
2018-04-27,7.678822
2018-04-30,7.652313
2018-05-02,7.731841
2018-05-03,7.652313
2018-05-04,7.643476
2018-05-07,7.616967999999999
2018-05-08,7.599295
2018-05-09,7.599295
2018-05-10,8.253186999999999
2018-05-11,8.235514
2018-05-14,8.535952
2018-05-15,8.482934
2018-05-16,8.500606
2018-05-17,8.482934
2018-05-18,8.368062
2018-05-21,8.359223
2018-05-23,8.39457
2018-05-24,8.39457
2018-05-25,8.323878
2018-05-28,8.306206
2018-05-29,8.315042
2018-05-30,8.262025
2018-05-31,8.262025
2018-06-01,8.262025
2018-06-04,8.359223
2018-06-05,8.288532
2018-06-06,8.191333
2018-06-07,8.164823
2018-06-08,8.155987
2018-06-11,8.235514
2018-06-12,8.17366
2018-06-13,8.129478
2018-06-14,8.076461
2018-06-15,8.138314
2018-06-19,8.058786
2018-06-20,8.120641
2018-06-21,8.067623
2018-06-22,7.961587
2018-06-25,7.952750999999999
2018-06-26,7.952750999999999
2018-06-27,7.85555
2018-06-28,7.882060000000001
2018-06-29,7.85555
2018-07-03,7.8202039999999995
2018-07-04,7.829039999999999
2018-07-05,7.758349000000001
2018-07-06,7.8202039999999995
2018-07-09,7.758349000000001
2018-07-10,7.784860000000001
2018-07-11,7.731841
2018-07-12,7.687658
2018-07-13,7.731841
2018-07-16,7.66115
2018-07-17,7.66115
2018-07-18,7.793694
2018-07-19,7.784860000000001
2018-07-20,7.696496000000001
2018-07-23,7.546277000000001
2018-07-24,7.616967999999999
2018-07-25,7.687658
2018-07-26,7.616967999999999
2018-07-27,7.519767999999999
2018-07-30,7.528604
2018-07-31,7.475585000000001
2018-08-01,7.466749
2018-08-02,7.422566000000001
2018-08-03,7.378385000000001
2018-08-06,7.31653
2018-08-07,7.2635119999999995
2018-08-08,7.599295
2018-08-09,7.5727850000000005
2018-08-10,7.555113
2018-08-13,7.510930999999999
2018-08-14,7.484422
2018-08-15,7.440239999999999
2018-08-16,7.378385000000001
2018-08-17,7.431404
2018-08-20,7.493257000000001
2018-08-21,7.431404
2018-08-22,7.41373
2018-08-23,7.466749
2018-08-24,7.466749
2018-08-27,7.510930999999999
2018-08-28,7.484422
2018-08-29,7.475585000000001
2018-08-30,7.493257000000001
2018-08-31,7.493257000000001
2018-09-03,7.422566000000001
2018-09-04,7.422566000000001
2018-09-05,7.422567
2018-09-06,7.3135449999999995
2018-09-07,7.3135449999999995
2018-09-10,7.268119
2018-09-11,7.268119
2018-09-12,7.259034
2018-09-13,7.240864
2018-09-14,7.204523
2018-09-17,7.204523
2018-09-18,7.286289999999999
2018-09-19,7.277203999999999
2018-09-20,7.249949000000001
2018-09-21,7.286289999999999
2018-09-24,7.286289999999999
2018-09-26,7.277203999999999
2018-09-27,7.268119
2018-09-28,7.268119
2018-10-02,7.177267999999999
2018-10-03,7.159097
2018-10-04,7.086417
2018-10-05,7.195438
2018-10-08,7.077331
2018-10-09,7.0591610000000005
2018-10-10,7.077331
2018-10-11,6.995564
2018-10-12,6.986478999999999
2018-10-15,6.986478999999999
2018-10-16,6.877458
2018-10-18,6.850202
2018-10-19,6.850202
2018-10-22,6.813861999999999
2018-10-23,6.813861999999999
2018-10-24,6.813861999999999
2018-10-25,6.723011
2018-10-26,6.750266000000001
2018-10-29,6.777521000000001
2018-10-30,6.632159
2018-10-31,6.632159
2018-11-01,6.541307
2018-11-02,6.632159
2018-11-05,6.5140519999999995
2018-11-06,6.586733000000001
2018-11-07,6.532222
2018-11-08,6.559477
2018-11-09,6.450456
2018-11-12,6.5140519999999995
2018-11-13,6.577648
2018-11-14,6.504967
2018-11-15,6.541307
2018-11-16,6.40503
2018-11-19,6.414115
2018-11-20,6.40503
2018-11-21,6.450456
2018-11-22,6.495882
2018-11-23,6.495882
2018-11-26,6.495882
2018-11-27,6.495882
2018-11-28,6.586733000000001
2018-11-29,6.486796
2018-11-30,6.532222
2018-12-03,6.623074000000001
2018-12-04,6.750266000000001
2018-12-05,6.750266000000001
2018-12-06,6.732094999999999
2018-12-07,6.732094999999999
2018-12-10,6.723011
2018-12-11,6.6866699999999994
2018-12-12,6.7139240000000004
2018-12-13,6.760101
2018-12-14,6.815511
2018-12-17,6.8801570000000005
2018-12-18,6.870922
2018-12-19,6.972508
2018-12-20,6.954038000000001
2018-12-21,7.000214
2018-12-24,7.018683
2018-12-27,6.990978999999999
2018-12-28,7.018683
2018-12-31,7.055624000000001
2019-01-02,7.018683
2019-01-03,7.0740940000000005
2019-01-04,7.0740940000000005
2019-01-07,7.064858999999999
2019-01-08,7.194151
2019-01-09,7.231091
2019-01-10,7.203386
2019-01-11,7.203386
2019-01-14,7.184916
2019-01-15,7.203386
2019-01-16,7.268032000000001
2019-01-17,7.314207000000001
2019-01-18,7.378852999999999
2019-01-21,7.4435
2019-01-22,7.4435
2019-01-23,7.4527339999999995
2019-01-24,7.4435
2019-01-25,7.48044
2019-01-28,7.471203999999999
2019-01-29,7.48044
2019-01-30,7.48044
2019-01-31,7.49891
2019-02-01,7.48044
2019-02-04,7.48044
2019-02-08,7.526614
2019-02-11,7.51738
2019-02-12,7.51738
2019-02-13,7.53585
2019-02-14,7.563555
2019-02-15,7.563555
2019-02-18,7.51738
2019-02-19,7.51738
2019-02-20,7.48044
2019-02-21,7.51738
2019-02-22,7.51738
2019-02-25,7.53585
2019-02-26,7.545085
2019-02-27,7.526614
2019-02-28,7.526614
2019-03-01,7.49891
2019-03-04,7.508144000000001
2019-03-05,7.489674000000001
2019-03-06,7.563555
2019-03-07,7.55432
2019-03-08,7.526614
2019-03-11,7.600495
2019-03-12,7.831372999999999
2019-03-13,7.803667999999999
2019-03-14,7.683611999999999
2019-03-15,7.711317
2019-03-18,7.831372999999999
2019-03-19,7.8129029999999995
2019-03-20,7.803667999999999
2019-03-21,7.803667999999999
2019-03-22,7.8129029999999995
2019-03-25,7.840609
2019-03-26,7.803667999999999
2019-03-27,7.831372999999999
2019-03-28,7.914488
2019-03-29,8.080722
2019-04-01,8.034545
2019-04-02,7.9699
2019-04-03,8.043781
2019-04-04,8.053017
2019-04-08,8.006841
2019-04-09,8.06225
2019-04-10,8.053017
2019-04-11,7.997605999999999
2019-04-12,7.942195
2019-04-15,7.9699
2019-04-16,7.98837
2019-04-17,7.98837
2019-04-18,7.868314
2019-04-23,7.7390229999999995
2019-04-24,7.7390229999999995
2019-04-25,7.711317
2019-04-26,7.7390229999999995
2019-04-29,7.711317
2019-04-30,7.674376
2019-05-02,7.674376
2019-05-03,7.7205509999999995
2019-05-06,7.60973
2019-05-07,7.628201
2019-05-08,7.5727899999999995
2019-05-09,7.397324
2019-05-10,7.415792999999999
2019-05-14,7.397324
2019-05-15,7.48044
2019-05-16,7.489674000000001
2019-05-17,7.4435
2019-05-20,7.461969
2019-05-21,7.434264
2019-05-22,7.48044
2019-05-23,7.434264
2019-05-24,7.48044
2019-05-27,7.461969
2019-05-28,7.461969
2019-05-29,7.378852999999999
2019-05-30,7.48044
2019-05-31,7.351147999999999
2019-06-03,7.406559
2019-06-04,7.406559
2019-06-05,7.406559
2019-06-06,7.388088000000001
2019-06-10,7.434264
2019-06-11,7.4435
2019-06-12,7.388088000000001
2019-06-13,7.332677
2019-06-14,7.360383000000001
2019-06-17,7.304972
2019-06-18,7.378852999999999
2019-06-19,7.341913000000001
2019-06-20,7.369617999999999
2019-06-21,7.351147999999999
2019-06-24,7.323442
2019-06-25,7.314207000000001
2019-06-26,7.314207000000001
2019-06-27,7.332677
2019-06-28,7.323442
2019-07-02,7.931565942764282
2019-07-03,7.934068665504455
2019-07-04,7.908860487937927
2019-07-05,7.888743681907654
2019-07-08,7.878579893112183
2019-07-09,7.87491666316986
2019-07-10,7.879284234046936
2019-07-11,7.880749778747559
2019-07-12,7.95169816493988
2019-07-15,8.00502387523651
2019-07-16,8.034103527069092
2019-07-17,8.029733176231383
2019-07-18,8.013475713729859
2019-07-19,7.974520125389099
2019-07-22,7.929282331466674
2019-07-23,7.892976298332214
2019-07-24,7.873014159202575
2019-07-25,7.865578269958496
2019-07-26,7.851972889900207
2019-07-29,7.8331636762619015
2019-07-30,7.790645189285278
2019-07-31,7.732750487327575
2019-08-01,7.6709390735626215
2019-08-02,7.607321190834045
2019-08-05,7.526067743301391
2019-08-06,7.405936546325683
2019-08-07,7.254883089065552
2019-08-08,7.107857036590576
2019-08-09,6.997503719329834
2019-08-12,6.938481111526489
2019-08-13,6.917363014221191
2019-08-14,6.89064001083374
2019-08-15,6.831833987236022
2019-08-16,6.755546054840088
2019-08-19,6.689449205398559
2019-08-20,6.6585471630096436
2019-08-21,6.66071578502655
2019-08-22,6.682036819458007
2019-08-23,6.700821013450622
2019-08-26,6.710511198043823
2019-08-27,6.698672103881836
2019-08-28,6.661089816093444
2019-08-29,6.615046339035033
2019-08-30,6.570980930328369
2019-09-02,6.539137365818023
2019-09-03,6.522595841884613
2019-09-04,6.497932283878326
2019-09-05,6.4721667242050165
2019-09-06,6.443712310791015
2019-09-09,6.422827982902526
2019-09-10,6.407886199951172
2019-09-11,6.394448881149292
2019-09-12,6.38659776687622
2019-09-13,6.386397230625152
2019-09-16,6.39688690662384
2019-09-17,6.407724077701568
